template,pair_id,I_start,I_goal,fixed_tau0,fixed_success,fixed_reason,safe_success,safe_mode,safe_tau_used,safe_tau_gap,safe_reason,tau_star,tau_request,mm_success
bottleneck,0,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,1,0.8723214285714286,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
bottleneck,2,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,3,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,4,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,5,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,6,0.85,0.90859375,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
bottleneck,7,0.6,0.0,0.8,0,no path under irreversibility constraint,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,8,0.0,0.0,0.8,0,no path under irreversibility constraint,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,9,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,10,0.95,0.95,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.953125,0.963125,1
bottleneck,11,0.90859375,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
bottleneck,12,0.95,0.95,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.953125,0.963125,1
bottleneck,13,0.90859375,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
bottleneck,14,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,15,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,16,0.85,0.90859375,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
bottleneck,17,0.85,0.95,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.953125,0.963125,1
bottleneck,18,0.0,0.95,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.953125,0.963125,1
bottleneck,19,0.90859375,0.95,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.953125,0.963125,1
bottleneck,20,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,21,0.0,0.0,0.8,1,ok,1,NORMAL,0.8,0.0,ok,0.0,0.01,1
bottleneck,22,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,23,0.0,0.8723214285714286,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
bottleneck,24,0.85,0.95,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.953125,0.963125,1
bottleneck,25,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,26,0.8723214285714286,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
bottleneck,27,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,28,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,29,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,30,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,31,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,32,0.90859375,0.95,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.953125,0.963125,1
bottleneck,33,0.90859375,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
bottleneck,34,0.8723214285714286,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
bottleneck,35,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,36,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,37,0.8723214285714286,0.90859375,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
bottleneck,38,0.85,0.90859375,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
bottleneck,39,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,40,0.85,0.90859375,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
bottleneck,41,0.8723214285714286,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
bottleneck,42,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,43,0.95,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.953125,0.963125,1
bottleneck,44,0.90859375,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
bottleneck,45,0.8723214285714286,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
bottleneck,46,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,47,0.90859375,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
bottleneck,48,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,49,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,50,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,51,0.85,0.95,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.953125,0.963125,1
bottleneck,52,0.95,0.95,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.953125,0.963125,1
bottleneck,53,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
bottleneck,54,0.95,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.953125,0.963125,1
bottleneck,55,0.0,0.0,0.8,1,ok,1,NORMAL,0.8,0.0,ok,0.0,0.01,1
bottleneck,56,0.85,0.95,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.953125,0.963125,1
bottleneck,57,0.95,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.953125,0.963125,1
bottleneck,58,0.85,0.90859375,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
bottleneck,59,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,0,0.90859375,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
culdesac,1,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,2,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,3,0.8723214285714286,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
culdesac,4,0.90859375,0.8723214285714286,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
culdesac,5,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,6,0.85,0.9,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9000000000000001,0.10000000000000009,relaxed tau to minimal feasible threshold,0.90234375,0.91234375,1
culdesac,7,0.85,0.8723214285714286,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
culdesac,8,0.85,0.8723214285714286,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
culdesac,9,0.94375,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9500000000000002,0.15000000000000013,relaxed tau to minimal feasible threshold,0.9453125,0.9553125,1
culdesac,10,0.90859375,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
culdesac,11,0.90859375,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
culdesac,12,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,13,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,14,0.85,0.0,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,15,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,16,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,17,0.8723214285714286,0.8723214285714286,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
culdesac,18,0.85,0.9,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9000000000000001,0.10000000000000009,relaxed tau to minimal feasible threshold,0.90234375,0.91234375,1
culdesac,19,0.8723214285714286,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
culdesac,20,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,21,0.8723214285714286,0.022321428571428558,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
culdesac,22,0.0,0.90859375,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
culdesac,23,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,24,0.85,0.8723214285714286,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8800000000000001,0.08000000000000007,relaxed tau to minimal feasible threshold,0.875,0.885,1
culdesac,25,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,26,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,27,0.85,0.90859375,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.9100000000000001,0.1100000000000001,relaxed tau to minimal feasible threshold,0.91015625,0.92015625,1
culdesac,28,0.85,0.85,0.8,0,start violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
culdesac,29,0.0,0.85,0.8,0,goal violates irreversibility threshold,1,SAFE_RELAX_TAU,0.8500000000000001,0.050000000000000044,relaxed tau to minimal feasible threshold,0.8515625,0.8615625,1
